id,codi_estacio,codi_variable,data_lectura,data_extrem,valor_lectura,codi_estat,codi_base
V4330101151330,V4,33,2015-01-01T13:30:00.000,,47.0,V,SH
V4440101151330,V4,44,2015-01-01T13:30:00.000,2015-01-01T13:53:00.000,45.0,V,SH
V4030101151330,V4,3,2015-01-01T13:30:00.000,2015-01-01T13:59:00.000,48.0,V,SH
V4420101151330,V4,42,2015-01-01T13:30:00.000,2015-01-01T13:32:00.000,8.5,V,SH
V4330101151400,V4,33,2015-01-01T14:00:00.000,,46.0,V,SH
V4420101151400,V4,42,2015-01-01T14:00:00.000,2015-01-01T14:29:00.000,8.6,V,SH
V4320101151400,V4,32,2015-01-01T14:00:00.000,,9.2,V,SH
V4720101151400,V4,72,2015-01-01T14:00:00.000,2015-01-01T14:00:00.000,0.0,V,SH
V4440101151400,V4,44,2015-01-01T14:00:00.000,2015-01-01T14:12:00.000,45.0,V,SH
V4030101151400,V4,3,2015-01-01T14:00:00.000,2015-01-01T14:03:00.000,48.0,V,SH
V4350101151400,V4,35,2015-01-01T14:00:00.000,,0.0,V,SH
V4400101151400,V4,40,2015-01-01T14:00:00.000,2015-01-01T14:12:00.000,9.5,V,SH
V4400101151430,V4,40,2015-01-01T14:30:00.000,2015-01-01T14:57:00.000,9.3,V,SH
V4420101151430,V4,42,2015-01-01T14:30:00.000,2015-01-01T14:32:00.000,8.5,V,SH
V4330101151430,V4,33,2015-01-01T14:30:00.000,,48.0,V,SH
V4350101151430,V4,35,2015-01-01T14:30:00.000,,0.0,V,SH
V4030101151430,V4,3,2015-01-01T14:30:00.000,2015-01-01T14:51:00.000,49.0,V,SH
V4320101151430,V4,32,2015-01-01T14:30:00.000,,8.8,V,SH
V4720101151430,V4,72,2015-01-01T14:30:00.000,2015-01-01T14:30:00.000,0.0,V,SH
V4440101151430,V4,44,2015-01-01T14:30:00.000,2015-01-01T14:58:00.000,46.0,V,SH
V4030101151500,V4,3,2015-01-01T15:00:00.000,2015-01-01T15:04:00.000,49.0,V,SH
V4350101151500,V4,35,2015-01-01T15:00:00.000,,0.0,V,SH
V4320101151500,V4,32,2015-01-01T15:00:00.000,,9.2,V,SH
V4720101151500,V4,72,2015-01-01T15:00:00.000,2015-01-01T15:00:00.000,0.0,V,SH
V4420101151500,V4,42,2015-01-01T15:00:00.000,2015-01-01T15:29:00.000,8.9,V,SH
V4330101151500,V4,33,2015-01-01T15:00:00.000,,48.0,V,SH
V4440101151500,V4,44,2015-01-01T15:00:00.000,2015-01-01T15:08:00.000,47.0,V,SH
V4400101151500,V4,40,2015-01-01T15:00:00.000,2015-01-01T15:12:00.000,9.5,V,SH
V4420101151530,V4,42,2015-01-01T15:30:00.000,2015-01-01T15:59:00.000,8.2,V,SH
V4720101151530,V4,72,2015-01-01T15:30:00.000,2015-01-01T15:30:00.000,0.0,V,SH
V4350101151530,V4,35,2015-01-01T15:30:00.000,,0.0,V,SH
V4030101151530,V4,3,2015-01-01T15:30:00.000,2015-01-01T15:51:00.000,51.0,V,SH
V4440101151530,V4,44,2015-01-01T15:30:00.000,2015-01-01T15:30:00.000,49.0,V,SH
V4400101151530,V4,40,2015-01-01T15:30:00.000,2015-01-01T15:33:00.000,8.9,V,SH
V4320101151530,V4,32,2015-01-01T15:30:00.000,,8.7,V,SH
V4330101151530,V4,33,2015-01-01T15:30:00.000,,50.0,V,SH
V4030101151600,V4,3,2015-01-01T16:00:00.000,2015-01-01T16:29:00.000,59.0,V,SH
V4350101151600,V4,35,2015-01-01T16:00:00.000,,0.0,V,SH
V4720101151600,V4,72,2015-01-01T16:00:00.000,2015-01-01T16:00:00.000,0.0,V,SH
V4440101151600,V4,44,2015-01-01T16:00:00.000,2015-01-01T16:00:00.000,50.0,V,SH
V4400101151600,V4,40,2015-01-01T16:00:00.000,2015-01-01T16:00:00.000,8.2,V,SH
V4420101151600,V4,42,2015-01-01T16:00:00.000,2015-01-01T16:29:00.000,5.9,V,SH
V4330101151600,V4,33,2015-01-01T16:00:00.000,,55.0,V,SH
V4320101151600,V4,32,2015-01-01T16:00:00.000,,6.9,V,SH
V4440101151630,V4,44,2015-01-01T16:30:00.000,2015-01-01T16:30:00.000,59.0,V,SH
V4030101151630,V4,3,2015-01-01T16:30:00.000,2015-01-01T16:59:00.000,62.0,V,SH
V4350101151630,V4,35,2015-01-01T16:30:00.000,,0.0,V,SH
V4720101151630,V4,72,2015-01-01T16:30:00.000,2015-01-01T16:30:00.000,0.0,V,SH
V4400101151630,V4,40,2015-01-01T16:30:00.000,2015-01-01T16:30:00.000,5.8,V,SH
V4420101151630,V4,42,2015-01-01T16:30:00.000,2015-01-01T16:59:00.000,4.8,V,SH
V4330101151630,V4,33,2015-01-01T16:30:00.000,,61.0,V,SH
V4320101151630,V4,32,2015-01-01T16:30:00.000,,5.3,V,SH
V4720101151700,V4,72,2015-01-01T17:00:00.000,2015-01-01T17:00:00.000,0.0,V,SH
V4320101151700,V4,32,2015-01-01T17:00:00.000,,4.3,V,SH
V4400101151700,V4,40,2015-01-01T17:00:00.000,2015-01-01T17:00:00.000,4.8,V,SH
V4350101151700,V4,35,2015-01-01T17:00:00.000,,0.0,V,SH
V4330101151700,V4,33,2015-01-01T17:00:00.000,,65.0,V,SH
V4440101151700,V4,44,2015-01-01T17:00:00.000,2015-01-01T17:00:00.000,62.0,V,SH
V4030101151700,V4,3,2015-01-01T17:00:00.000,2015-01-01T17:29:00.000,66.0,V,SH
V4420101151700,V4,42,2015-01-01T17:00:00.000,2015-01-01T17:29:00.000,3.6,V,SH
V4330101151730,V4,33,2015-01-01T17:30:00.000,,69.0,V,SH
V4440101151730,V4,44,2015-01-01T17:30:00.000,2015-01-01T17:30:00.000,67.0,V,SH
V4030101151730,V4,3,2015-01-01T17:30:00.000,2015-01-01T17:55:00.000,71.0,V,SH
V4420101151730,V4,42,2015-01-01T17:30:00.000,2015-01-01T17:59:00.000,2.3,V,SH
V4720101151730,V4,72,2015-01-01T17:30:00.000,2015-01-01T17:30:00.000,0.0,V,SH
V4320101151730,V4,32,2015-01-01T17:30:00.000,,2.9,V,SH
V4400101151730,V4,40,2015-01-01T17:30:00.000,2015-01-01T17:30:00.000,3.5,V,SH
V4350101151730,V4,35,2015-01-01T17:30:00.000,,0.0,V,SH
V4030101151800,V4,3,2015-01-01T18:00:00.000,2015-01-01T18:29:00.000,78.0,V,SH
V4320101151800,V4,32,2015-01-01T18:00:00.000,,1.6,V,SH
V4400101151800,V4,40,2015-01-01T18:00:00.000,2015-01-01T18:00:00.000,2.2,V,SH
V4440101151800,V4,44,2015-01-01T18:00:00.000,2015-01-01T18:00:00.000,71.0,V,SH
V4330101151800,V4,33,2015-01-01T18:00:00.000,,75.0,V,SH
V4350101151800,V4,35,2015-01-01T18:00:00.000,,0.0,V,SH
V4720101151800,V4,72,2015-01-01T18:00:00.000,2015-01-01T18:00:00.000,0.0,V,SH
V4420101151800,V4,42,2015-01-01T18:00:00.000,2015-01-01T18:27:00.000,1.3,V,SH
V4320101151830,V4,32,2015-01-01T18:30:00.000,,1.2,V,SH
V4400101151830,V4,40,2015-01-01T18:30:00.000,2015-01-01T18:35:00.000,1.4,V,SH
V4420101151830,V4,42,2015-01-01T18:30:00.000,2015-01-01T18:59:00.000,0.9,V,SH
